Benchmark	Baseline	AU	ASR	AU_rate	ASR_rate	Calls	TotalTokens_M	Efficiency	Confidence
ASB-OPI	Undefended	1453/2040	1220/2040	0.7123	0.5980	7068	9.103	0.0125	window-est
ASB-OPI	CaMeL	1471/2040	281/2040	0.7211	0.1377	7062	9.010	0.0647	window-est
ASB-OPI	DRIFT	776/2040	200/2040	0.3804	0.0980	6900	8.764	0.0322	window-est
ASB-OPI	MELON	1640/2040	275/2040	0.8039	0.1348	7809	9.943	0.0673	window-est
ASB-OPI	Spotlighting	1266/2040	1043/2040	0.6206	0.5113	7310	9.305	0.0117	window-est
ASB-OPI	ToolFilter	1038/2040	312/2040	0.5088	0.1529	3644	4.363	0.0816	window-est
ASB-OPI	AgentShield	1252/2040	867/2040	0.6137	0.4250	5357	9.660	0.0195	window-est
ASB-OPI	Progent	962/2040	291/2040	0.4716	0.1426	6642	10.633	0.0309	window-est
ASB-OPI	Ours	1566/2040	0/2040	0.7676	0.0000	14196	17.805	0.0431	provenance-expanded
AgentDojo	Undefended	464/629	107/629	0.7377	0.1701	6411	28.632	0.0198	window-est
AgentDojo	CaMeL	471/629	7/629	0.7488	0.0111	7708	36.865	0.0200	window-est
AgentDojo	DRIFT	384/629	12/629	0.6105	0.0191	8308	39.012	0.0152	window-est
AgentDojo	MELON	245/629	4/629	0.3895	0.0064	5460	24.795	0.0155	window-est
AgentDojo	Spotlighting	547/629	1/629	0.8696	0.0016	6763	36.317	0.0239	window-est
AgentDojo	ToolFilter	141/629	1/629	0.2242	0.0016	8380	47.693	0.0047	window-est
AgentDojo	AgentShield	502/629	3/629	0.7981	0.0048	8496	48.384	0.0164	window-est
AgentDojo	Progent	489/629	4/629	0.7774	0.0064	8250	40.120	0.0192	window-est
AgentDojo	Ours	505/629	0/629	0.8029	0.0000	16571	216.418	0.0037	provenance-window
MCPTox	Undefended	556/1348	488/1348	0.4125	0.3620	3276	1.971	0.0256	window-est
MCPTox	MCPGuard	704/1348	1/1348	0.5223	0.0007	4598	3.315	0.1573	window-est
MCPTox	ClawGuard	618/1348	218/1348	0.4585	0.1617	1847	1.076	0.2757	window-est
MCPTox	StackOne	179/1348	13/1348	0.1328	0.0096	1811	0.521	0.2364	window-est
MCPTox	Pipelock	608/1348	414/1348	0.4510	0.3071	23215	69.825	0.0021	window-est
MCPTox	Ours	1015/1348	0/1348	0.7530	0.0000	6014	6.109	0.1233	provenance-window
MSB	Undefended	376/415	303/622	0.9060	0.4871	630	0.494	0.8482	per-baseline-log-window
MSB	Ours	343/415	0/622	0.8265	0.0000	2791	8.469	0.0976	provenance-expanded
SCR	Undefended	610/667	575/667	0.9145	0.8621	242	0.951	0.0552	window-est
SCR	Progent	457/551	493/551	0.8294	0.8947	11801	5.892	-0.0111	window-est
SCR	TaskShield	505/667	460/667	0.7571	0.6897	12533	6.281	0.0107	window-est
SCR	DynamicGuardian	116/116	84/116	1.0000	0.7241	12528	6.280	0.0439	window-est
SCR	ClawGuard	75/551	124/551	0.1361	0.2250	11807	5.894	-0.0151	window-est
SkillInject	Undefended	150/180	52/180	0.8333	0.2889	1077	4.818	0.1130	window-est
SkillInject	Progent	113/180	28/180	0.6278	0.1556	19771	11.943	0.0395	window-est
SkillInject	TaskShield	105/180	10/180	0.5833	0.0556	19817	11.964	0.0441	window-est
SkillInject	ClawGuard	82/180	13/180	0.4556	0.0722	19768	11.942	0.0321	window-est
SkillInject	Ours	142/180	1/180	0.7889	0.0056	70240	166.142	0.0047	provenance-window
